      0: global: energy port connected. master: system.energy_mgmt, slave: system.cpu
      0: system.energy_mgmt: Energy Management module initialized!
      0: system.energy_mgmt: Energy profile: ./profile/energy_prof (Time unit: 1000000 ticks)
76000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 582.005
77000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 589.576
78000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 597.148
79000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 604.719
80000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 612.291
81000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 619.862
82000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 627.434
83000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 635.005
84000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 642.576
85000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 650.148
86000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 657.719
87000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 665.291
88000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 672.862
89000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 680.434
90000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 688.005
91000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 695.577
92000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 703.148
93000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 710.72
94000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 718.291
95000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 725.863
96000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 733.434
97000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 741.006
98000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 748.577
99000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 756.149
100000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 763.72
101000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 771.292
102000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 778.863
103000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 786.435
104000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 794.006
105000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 801.578
106000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 809.149
107000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 816.721
108000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 824.292
109000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 831.864
110000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 839.435
111000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 847.007
112000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 854.578
113000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 862.15
114000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 869.721
115000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 877.293
116000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 884.864
